n,t,Term,id,paper_list,affiliation
R. P. Pargas,student submission; data structure; student work; student data; students meaningful question; computer science student; student Ink response; student activity; student performance; student understanding,"['student', 'submiss', 'data', 'structur', 'student', 'work', 'student', 'data', 'student', 'meaning', 'question', 'comput', 'scienc', 'student', 'student', 'ink', 'respons', 'student', 'activ', 'student', 'perform', 'student', 'understand']",10878,"1. Branch-and-bound algorithms on a hypercube, 2. Three-Dimensional Image Capture and Applications, 3. Communication along shortest paths in a tree machine","Department of Computer Science, Clemson University, Clemson, SC;The University of North Carolina at Chapel Hill
"
Kirsten Rassmus Gröhn,haptic force feedback; angle interval; task performance; present study; better understanding; navigation performance; suitable angle interval; different gesture; different location; mobile Oracle,"['haptic', 'forc', 'feedback', 'angl', 'interv', 'task', 'perform', 'present', 'studi', 'better', 'understand', 'navig', 'perform', 'suitabl', 'angl', 'interv', 'differ', 'gestur', 'differ', 'locat', 'mobil', 'oracl']",10890,"1. SVARNE—an expert system based on tacit knowledge, 2. Navigating the world and learning to like it: mobility training through a pervasive game","Lund Univ., Lund, Sweden
"
Alexander Hellemans,news analysis; ArticleNews analysis; quantum state; electric field; identical graph; important resultsNews analysis; silicon substrateNews analysis; walkingNews analysis; French team; German team,"['news', 'analysi', 'articlenew', 'analysi', 'quantum', 'state', 'electr', 'field', 'ident', 'graph', 'import', 'resultsnew', 'analysi', 'silicon', 'substratenew', 'analysi', 'walkingnew', 'analysi', 'french', 'team', 'german', 'team']",10891,"1. News analysis: paintable liquid-crystal displays, 2. News analysis: identical graphs chart a dubious picture, 3. News analysis: left-handed material reacts to 3-D light, 4. News analysis: IBM researchers devise nanotube ICs, 5. News analysis: bonding Gallium arsenide to silicon substrate","
"
T. C. Schulthess,magnetic structure; Hubbard model; magnetic moment; new algorithm; high performance; high performance computing system; optimum performance; performance impact; sustained performance; electronic structure,"['magnet', 'structur', 'hubbard', 'model', 'magnet', 'moment', 'new', 'algorithm', 'high', 'perform', 'high', 'perform', 'comput', 'system', 'optimum', 'perform', 'perform', 'impact', 'sustain', 'perform', 'electron', 'structur']",10895,"1. Multi-teraflops spin dynamics studies of the magnetic structure of FeMn/Co interfaces, 2. Parallel Multi-Teraflops Studies of the Magnetic Structure of FeMn Alloys, 3. New algorithm to enable 400+ TFlop/s sustained performance in simulations of disorder effects in high-Tc superconductors, 4. A scalable method for ab initio computation of free energies in nanoscale systems","Oak Ridge National Laboratory, Oak Ridge, TN;Institute for Theoretical Physics and Swiss National Supercomputer Center, ETH Zurich, Zurich;Swiss National Supercomputing Centre (CSCS), Manno, Switzerland
"
Harry W. Agius,digital video; video stream; video content; video summarisation; video summarisation technique; video summary; MPEG-7 user interaction tool; ELVIS video summary; digital video metadata; entertaining video subsegments,"['digit', 'video', 'video', 'stream', 'video', 'content', 'video', 'summaris', 'video', 'summaris', 'techniqu', 'video', 'summari', 'mpeg-7', 'user', 'interact', 'tool', 'elvi', 'video', 'summari', 'digit', 'video', 'metadata', 'entertain', 'video', 'subseg']",10902,"1. Desktop video conferencing in the organisation, 2. Developing Knowledge-Based Intelligent Multimedia TutoringSystems Using Semantic Content-Based Modelling, 3. A method for developing interactive multimedia from their semantic content, 4. Modeling Content for Semantic-Level Querying of Multimedia, 5. An interactive multimedia learning environment for VLSI built with COSMOS","Centre for Multimedia, School of Computing, Information Systems and Mathematics, South Bank University, 103 Borough Road, London SE1 0AA, UK;Department of Information Systems and Computing, Brunel University, Uxbridge, Middlesex, UB8 3PH, UK. <rfc822>harryagius@acm.org</rfc822>
"
Gideon Stupp,Delaunay triangulation; adaptive algorithm; step complexity; adaptive implementation; adaptive splitter; new name; renaming algorithm; total number; unit disk; adaptive atomic snapshot,"['delaunay', 'triangul', 'adapt', 'algorithm', 'step', 'complex', 'adapt', 'implement', 'adapt', 'splitter', 'new', 'name', 'renam', 'algorithm', 'total', 'number', 'unit', 'disk', 'adapt', 'atom', 'snapshot']",10904,"1. Delimiting the power of bounded size synchronization objects (extended abstract), 2. Optimal time-space tradeoff for shared memory leader election, 3. Long-lived renaming made adaptive, 4. Long-lived and adaptive atomic snapshot and immediate snapshot (extended abstract), 5. Stateless Termination Detection","Department of Computer Science, TelAviv University, Israel 69978;Technion, Haifa, Israel;Cisco systems, 32 Hamelacha st, Netanya, Israel
"
Amit Paradkar,use case; use case description; use case model; Web application; time spectrum; English use case; UML use case; imprecise use case description; multilingual use case; poor quality use case,"['use', 'case', 'use', 'case', 'descript', 'use', 'case', 'model', 'web', 'applic', 'time', 'spectrum', 'english', 'use', 'case', 'uml', 'use', 'case', 'imprecis', 'use', 'case', 'descript', 'multilingu', 'use', 'case', 'poor', 'qualiti', 'use', 'case']",10917,"1. Specification-based testing using cause-effect graphs, 2. A new solution to test generation for Boolean expressions, 3. Inter-class testing of O-O software in the presence of polymorphism, 4. On the experience of using cause-effect graphs for software specification and test generation, 5. Efficient Regression Testing of Multi-Panel Systems","IBM T. J. Watson Research Center, Hawthorne, NY, USA;IBM, Yorktown Heights, NY, USA;IBM Research, USA
"
Peter J. Nürnberg,structural computing; structural diversity; structural computing environment; structural computing research; hypermedia system; structural atom; structural computing field; structural computing infrastructure; structural computing system; hypermedia field,"['structur', 'comput', 'structur', 'divers', 'structur', 'comput', 'environ', 'structur', 'comput', 'research', 'hypermedia', 'system', 'structur', 'atom', 'structur', 'comput', 'field', 'structur', 'comput', 'infrastructur', 'structur', 'comput', 'system', 'hypermedia', 'field']",10922,"1. Hypermedia operating systems: a new paradigm for computing, 2. As we should have thought, 3. An agenda for open hypermedia research, 4. A hypermedia version control framework, 5. CAOS: a collaborative and open spatial structure service component with incremental spatial parsing","Hypermedia Research Laboratory, Texas A&M University, College Station, TX;Dept. of Computer Science, Aarhus University, Ny Munkegade, Bldg. 540, 8000 Ârhus C, Denmark;Aalborg Univ., Esbjerg, DK;Aarlborg University;Xtructure, LLC, Houston, TX
"
Shari Lawrence Pfleeger,software engineering; software quality; software development; software reuse; software system; software development process; software engineering survey; software researcher; ArticleEvaluating software technology; Research ResultsThe software engineering,"['softwar', 'engin', 'softwar', 'qualiti', 'softwar', 'develop', 'softwar', 'reus', 'softwar', 'system', 'softwar', 'develop', 'process', 'softwar', 'engin', 'survey', 'softwar', 'research', 'articleevalu', 'softwar', 'technolog', 'research', 'resultsth', 'softwar', 'engin']",10937,"1. Introduction to discrete structures, 2. Software engineering: the production of quality software, 3. A transaction flow approach to software security certification for document handling systems, 4. A methodology for penetration testing, 5. Software engineering: the production of quality software (2nd ed.)","Contel Technology Center and Systems/Software Inc.;City Univ., London, UK;Systems/Software, US;Howard Univ., Washington, DC;Systems/Software, Inc., 4519 Davenport St. NW, Washington, DC;Systems/Software, Inc./ and Univ. of Maryland;Systems/Software, Inc. 4519 Davenport St. NW, Washington, DC;Systems/Software, Inc., Washington, DC;RAND Corporation, Arlington VA;Systems/Software, Inc., USA (group chair);Systems/Software Inc., 4159, Davenport St. NW, Washington DC;RAND;Systems/Software, Inc., Washington, D.C.
"
Enrico Rukzio,mobile phone; mobile device; mobile interaction; interaction technique; mobile application; mobile interaction technique; mobile service; mobile system; current mobile device; mobile e-services,"['mobil', 'phone', 'mobil', 'devic', 'mobil', 'interact', 'interact', 'techniqu', 'mobil', 'applic', 'mobil', 'interact', 'techniqu', 'mobil', 'servic', 'mobil', 'system', 'current', 'mobil', 'devic', 'mobil', 'e-servic']",10966,"1. Behavior3D: an XML-based framework for 3D graphics behavior, 2. Physical Posters as Gateways to Context-Aware Services for Mobile Devices, 3. The rotating compass: a novel interaction technique for mobile navigation, 4. Development of interactive applications for mobile devices, 5. User Expectations for Simple Mobile Ubiquitous Computing Environments","Dresden University of Technology, Dresden, Germany;LudwigMaximiliansUniversity Munich;Lancaster University, UK;Media Informatics, LMU Munich, Germany;EPFL  Ecoles Polytechniques Fédérales de Lausanne, Switzerland;University of DuisburgEssen, Essen, Germany;Institute for Media Informatics, Ulm University, Ulm, Germany;Ulm University / Lancaster University, Ulm / Lancaster, Germany
"
Agustín Zaballos,social network; end-to-end QoS control management; smart grid; main goal; ATM network; Ad-Hoc network; communication network; network congestion; Bandwidth Broker architecture; salt-affected soil,"['social', 'network', 'end-to-end', 'qo', 'control', 'manag', 'smart', 'grid', 'main', 'goal', 'atm', 'network', 'ad-hoc', 'network', 'commun', 'network', 'network', 'congest', 'bandwidth', 'broker', 'architectur', 'salt-affect', 'soil']",11002,"1. Prediction and Control of Short-Term Congestion in ATM Networks Using Artificial Intelligence Techniques, 2. Implementation of Traffic Engineering in NGNs Using Hybrid Genetic Algorithms, 3. A system to extract social networks based on the processing of information obtained from Internet, 4. ""Issues of QoS Multipath Routing Protocol for SENs Data Networks"", 5. Security in OPERA Specification Based PLC Systems","Universitat Ramon Llull, Spain;Departamento de Análisis Geográfico Regional y Geografía Física, Universidad Complutense de Madrid, Ciudad Universitaria, 28040 Madrid, Spain;University Ramon Llull
"
Nico Zazworka,software process; software product; software system; software development; software engineering; software evolution; software evolution visualization; software quality; design debt; case study,"['softwar', 'process', 'softwar', 'product', 'softwar', 'system', 'softwar', 'develop', 'softwar', 'engin', 'softwar', 'evolut', 'softwar', 'evolut', 'visual', 'softwar', 'qualiti', 'design', 'debt', 'case', 'studi']",11031,"1. ""Performance Measurement of Novice HPC Programmers Code"", 2. Performance Measurement of Novice HPC Programmers Code, 3. Tool supported detection and judgment of nonconformance in process execution, 4. The evolution and impact of code smells: A case study of two open source systems, 5. Domain-specific tailoring of code smells: an empirical study","University of Maryland;Fraunhofer Center for Experimental Software Engineering, Maryland;Fraunhofer Center, College Park, MD;Fraunhofer Institute and University of Maryland Baltimore County, Baltimore, MD, USA;Experimental Software Engineering, College Park
"
Xinming Zhang,wireless sensor network; simulation result; network lifetime; MAC protocol; Contention Window; energy consumption; control packet; proposed algorithm; topology control; network congestion,"['wireless', 'sensor', 'network', 'simul', 'result', 'network', 'lifetim', 'mac', 'protocol', 'content', 'window', 'energi', 'consumpt', 'control', 'packet', 'propos', 'algorithm', 'topolog', 'control', 'network', 'congest']",11036,"1. Fast example-based surface texture synthesis via discrete optimization, 2. A Transmission Power Control MAC Protocol for Wireless Sensor Networks, 3. A Link Reliability-Aware Route Maintenance Mechanism for Mobile Ad Hoc Networks, 4. A Novel Virtual Anchor Node-Based Localization Algorithm for Wireless Sensor Networks, 5. A Practical Low Interference Topology Control for Mobile Ad Hoc Networks","University of Science and Technology of China
"
Ning Yu,relevance feedback; image bag; content-based image retrieval; semantically similar image; target image; feature vector; example image; experimental result; overall retrieval performance; initial query point,"['relev', 'feedback', 'imag', 'bag', 'content-bas', 'imag', 'retriev', 'semant', 'similar', 'imag', 'target', 'imag', 'featur', 'vector', 'exampl', 'imag', 'experiment', 'result', 'overal', 'retriev', 'perform', 'initi', 'queri', 'point']",11046,"1. ""The determination and error assessment of the earths gravity field model"", 2. Dynamics of Transmission Provision in a Competitive PowerIndustry, 3. Scalable Loop Self-Scheduling Schemes for Heterogeneous Clusters, 4. Conversations in the Blogosphere: An Analysis ""From the Bottom Up"", 5. Query Decomposition: A Multiple Neighborhood Approach to Relevance Feedback Processing in Content-based Image Retrieval","Indiana University Bloomington;University of Central Florida;Department of Computer Science, The University of Texas, 6900 N Loop, 1604 W, San Antonio, TX 78249, USA.
"
Li Zhang,imaged document; document image; scanned document image; geometric distortion; warped document; warped document image; shading image; digital library; document page; real document image,"['imag', 'document', 'document', 'imag', 'scan', 'document', 'imag', 'geometr', 'distort', 'warp', 'document', 'warp', 'document', 'imag', 'shade', 'imag', 'digit', 'librari', 'document', 'page', 'real', 'document', 'imag']",11060,"1. The analytic formulas of the ripple-free tracking problem, 2. Statistical analysis of generalized processor sharing scheduling discipline, 3. Supporting stored video: reducing rate variability and end-to-end resource requirements through optimal smoothing, 4. Integrating the functionality of the MultiKron performance instrumentation toolkit into the Paradyn parallel performance measurement tools, 5. Proximity problems on moving points","National University of Singapore, Kent Ridge, Singapore
"
Robert F. Woodbury,design space exploration; design space explorer; design task; design space; design process; design solution; narrative design; alternative design; certain design specific; computational design research,"['design', 'space', 'explor', 'design', 'space', 'explor', 'design', 'task', 'design', 'space', 'design', 'process', 'design', 'solut', 'narr', 'design', 'altern', 'design', 'certain', 'design', 'specif', 'comput', 'design', 'research']",11083,"1. Strategies for interactive design systems, 2. Mixed Initiative in Design Space Exploration, 3. The knowledge based representation and manipulation of geometry, 4. A Case Study in the Design of Interactive Narrative: The Subversion of the Interface, 5. Whither design space?","School of Architecture, Landscape Architecture and Urban Design, University of Adelaide, SA 5005, Australia;Simon Fraser University
"
Winfried Hochstättler,oriented matroid; expected number; special case; colour change; flow number; minimal number; binary paint shop problem; paint shop problem; Chromatic Number; binary matroids,"['orient', 'matroid', 'expect', 'number', 'special', 'case', 'colour', 'chang', 'flow', 'number', 'minim', 'number', 'binari', 'paint', 'shop', 'problem', 'paint', 'shop', 'problem', 'chromat', 'number', 'binari', 'matroid']",11120,"1. Generating convex polyominoes at random, 2. On the complexity of testing membership in the core of min-cost spanning tree games, 3. Large circuits in binary matroids of large cogirth, 4. I, 5. Large circuits in binary matroids of large cogrith","Zentrum für Angewandte Informatik, Universität zu Köln,Weyertal 80, D50931 Köln, Germany.<rfc822>wh@zpr.unikoeln.de</rfc822>;Department of Mathematics, BTU Cottbus, Cottbus, Germany;Department of Mathematics, Fern Universität in Hagen, Hagen, Germany (email: Winfried.Hochstaettler@fernunihagen.de);Department of Mathematics and Computer Science, FernUniversität in Hagen, Hagen, Germany;FernUniversität in Hagen, Discrete Mathematics and Optimization, D58084 Hagen, Germany;Department of Mathematics and Computer Science, FernUni Hagen, Lützowstr. 125, 58084 Hagen, Germany;Fakultät für Mathematik und Informatik, FernUniversität in Hagen, D58084 Hagen, Germany;Department of Mathematics, FernUniversität in Hagen, Hagen
"
Asbury Scott C.,nozzle pressure ratio; baseline nozzle performance; HIDEN nozzle concept; design nozzle pressure ratio; fixed-geometry exhaust nozzle; fixed-geometry nozzle; internal nozzle performance; maximum afterburner-power nozzle; military-power nozzle; nonaxisymmetric convergent-divergent nozzle,"['nozzl', 'pressur', 'ratio', 'baselin', 'nozzl', 'perform', 'hiden', 'nozzl', 'concept', 'design', 'nozzl', 'pressur', 'ratio', 'fixed-geometri', 'exhaust', 'nozzl', 'fixed-geometri', 'nozzl', 'intern', 'nozzl', 'perform', 'maximum', 'afterburner-pow', 'nozzl', 'military-pow', 'nozzl', 'nonaxisymmetr', 'convergent-diverg', 'nozzl']",11122,"1. Static Performance of Six Innovative Thrust Reverser Concepts for Subsonic Transport Applications - Summary of the NASA Langley Innovative Thrust Reverser Test Program, 2. Internal Performance of a Fixed-Shroud Nonaxisymmetric Nozzle Equipped With an Aft-Hood Exhaust Deflector, 3. Static Performance of a Cruciform Nozzle With Multiaxis Thrust-Vectoring and Reverse-Thrust Capabilities, 4. A Static Investigation of the Thrust Vectoring System of the F/A-18 High-Alpha Research Vehicle, 5. An Experimental and Computational Investigation of a Translating Throat Single Expansion-Ramp Nozzle","
"
Shiqun Yin,Web text mining; citation network; search engine; Web page; Web information; semantic Web; Chinese text classification; Web Services Composition Method; Web page text content; text extraction,"['web', 'text', 'mine', 'citat', 'network', 'search', 'engin', 'web', 'page', 'web', 'inform', 'semant', 'web', 'chines', 'text', 'classif', 'web', 'servic', 'composit', 'method', 'web', 'page', 'text', 'content', 'text', 'extract']",11145,"1. Research and Realization of Text Mining Algorithm on Web, 2. Research and Realization of Extraction Algorithm on Web Text Mining, 3. Research and Implement of Classification Algorithm on Web Text Mining, 4. Study on Web-Page Classification Algorithm Based on Rough Set Theory, 5. A Approach for Text Classification Feature Dimensionality Reduction and Rule Generation on Rough Set","Faculty of Computer and Information Science, Southwest University, Chongqing, China
"
A. Bockmayr,regulatory network; elementary flux mode; metabolic network; biological system; flux cone; flux coupling analysis; thermodynamic constraint; inner description; outer description; genome-scale metabolic network,"['regulatori', 'network', 'elementari', 'flux', 'mode', 'metabol', 'network', 'biolog', 'system', 'flux', 'cone', 'flux', 'coupl', 'analysi', 'thermodynam', 'constraint', 'inner', 'descript', 'outer', 'descript', 'genome-scal', 'metabol', 'network']",11163,"1. A note on a canonical theory with undecidable unification and matching problem, 2. Exploring metabolic pathways in genome-scale networks via generating flux modes, 3. Building and analysing an integrative model of HIV-1 RNA alternative splicing","Univ. Karlsruhe, Karlsruhe, W. Germany;LORIA, Université Henri Poincaré, France;DFG Research Center Matheon, Freie Universität Berlin, Arnimallee 3, D14195 Berlin, Germany;LORIA, UMR 7503 (CNRS, INRIA, Universités de Nancy), VandœuvrelèsNancy, France;MPI Informatik, Im Stadtwald, D66123 Saarbrücken, bockmayr@mpisb.mpg.de
"
Paul J. Jalics,COBOL program; comparative performance characteristic; compiler performance; computer science; large actual COBOL program; synthetic benchmark COBOL program; various COBOL computation; Cobol performance; ISAM file performance; PCsThe performance,"['cobol', 'program', 'compar', 'perform', 'characterist', 'compil', 'perform', 'comput', 'scienc', 'larg', 'actual', 'cobol', 'program', 'synthet', 'benchmark', 'cobol', 'program', 'variou', 'cobol', 'comput', 'cobol', 'perform', 'isam', 'file', 'perform', 'pcsthe', 'perform']",11193,"1. COBOL on a PC: a new perspective on a language and its performance, 2. An experimental analysis of the performance of fourth generation tools on PCs, 3. Cobol vs. PL/1: some performance comparisons, 4. Transporting a portable operating system: UNIX to an IBM minicomputer, 5. Third-Generation Versus Fourth-Generation Software Development","Cleveland State Univ., Cleveland, OH
"
Martin Steinebach,digital watermarking; transaction watermarking; watermarking algorithm; blind watermarking scheme; current watermarking algorithm; digital watermarking container; main watermarking parameter; resourcesDigital watermarking; watermarking scheme; watermarking technique,"['digit', 'watermark', 'transact', 'watermark', 'watermark', 'algorithm', 'blind', 'watermark', 'scheme', 'current', 'watermark', 'algorithm', 'digit', 'watermark', 'contain', 'main', 'watermark', 'paramet', 'resourcesdigit', 'watermark', 'watermark', 'scheme', 'watermark', 'techniqu']",11221,"1. H204M — watermarking for media: classification, 2. quality evaluation, 3. design improvements, 4. Digital watermarks enabling e-commerce strategies: conditional and user specific access to services and resources, 5. Proceedings of the IFIP TC6/TC11 International Conference on Communications and Multimedia Security Issues of the New Century","GMDIPSI, Dolivostrasse 15, D64293 Darmstadt;Fraunhofer IPSI;PLATANISTA GmbH, Darmstadt;Fraunhofer Institute for Secure Information Technology, Darmstadt, Germany;Fraunhofer Institute for Secire Information Technology SIT, Darmstadt, Germany;Fraunhofer Institut SIT, Darmstadt, Germany
"
Jun'ichi Toyoda,self-directed learning; web page; reflective monitoring; inductive inference; HyperspaceSelf-directed learning; exploratory learning; navigation path; navigation process; ICAI system; Constructive Learning,"['self-direct', 'learn', 'web', 'page', 'reflect', 'monitor', 'induct', 'infer', 'hyperspaceself-direct', 'learn', 'exploratori', 'learn', 'navig', 'path', 'navig', 'process', 'icai', 'system', 'construct', 'learn']",11233,"1. A framework for ICAI systems based on inductive inference and logic programming, 2. Extended Prolog and its application to an integrated parser for text understanding, 3. Plan-based text generation in an on-line help system, 4. Development of C-Prolog compiler, 5. A dynamic organization in distributed constraint satisfaction","Osaka Univ., Osaka, Japan;Kinran College, Japan
"
Brett Benyo,multi-agent system; adaptive execution environment; execution environment; system shift; Custom Logic; dynamic environment; Producer-Consumer-Transporter domain; domain service; Agent Conversations; DAML-based policy,"['multi-ag', 'system', 'adapt', 'execut', 'environ', 'execut', 'environ', 'system', 'shift', 'custom', 'logic', 'dynam', 'environ', 'producer-consumer-transport', 'domain', 'domain', 'servic', 'agent', 'convers', 'daml-bas', 'polici']",11239,"1. The UMASS intelligent home project, 2. Using self-diagnosis to adapt organizational structures, 3. Investigating Interactions between Agent Conversations and Agent Control Components, 4. Toward DAML-based policy enforcement for semantic data transformation and filtering in multi-agent systems, 5. POIROT: integrated learning of web service procedures","Univ. of Massachusetts at Amherst, Amherst;BBN Technologies, Cambridge, MA
"
Robert Nürnberg,space dimension; Finite Element Approximation; parametric finite element approximation; numerical experiment; nabla w; nonlinear discrete system; mesh point; surface diffusion; stability bound; good property,"['space', 'dimens', 'finit', 'element', 'approxim', 'parametr', 'finit', 'element', 'approxim', 'numer', 'experi', 'nabla', 'w', 'nonlinear', 'discret', 'system', 'mesh', 'point', 'surfac', 'diffus', 'stabil', 'bound', 'good', 'properti']",11245,"1. Finite Element Approximation of Surfactant Spreading on a Thin Film, 2. Finite element approximation of a sixth order nonlinear degenerate parabolic equation, 3. Finite Element Approximation of Soluble Surfactant Spreading on a Thin Film, 4. A parametric finite element method for fourth order geometric evolution equations, 5. A variational formulation of anisotropic geometric evolution equations in higher dimensions","Imperial College, UK
"
D Rotem,data block; energy proportionality; data parallelism; access large data file; data accuracy; data intensive application; data intensive scientific application; data parallel computing clustersEnergy; video data; Scientific DataScientific data center,"['data', 'block', 'energi', 'proportion', 'data', 'parallel', 'access', 'larg', 'data', 'file', 'data', 'accuraci', 'data', 'intens', 'applic', 'data', 'intens', 'scientif', 'applic', 'data', 'parallel', 'comput', 'clustersenergi', 'video', 'data', 'scientif', 'datascientif', 'data', 'center']",11255,1. Distributed algorithms for finding centers and medians in networks,"University of Waterloo;Universtty of Waterloo, Waterloo, Ontario, Canada;Laurence Berkeley Laboratory, Berkeley, CA;Information and Computing Science Division, Lawrence Berkeley Laboratory, Berkeley, CA and Department of MIS, San Jose State University;Computer Science Research, Lawrence Berkeley Laboratories, University of California, Berkeley, CA
"
M. A. Noor,variational inequality; new method; special case; proposed method; general variational inequality; Multivalued variational inequality; variational inclusion; new class; general mixed variational inequality; variational iteration method,"['variat', 'inequ', 'new', 'method', 'special', 'case', 'propos', 'method', 'gener', 'variat', 'inequ', 'multivalu', 'variat', 'inequ', 'variat', 'inclus', 'new', 'class', 'gener', 'mix', 'variat', 'inequ', 'variat', 'iter', 'method']",11264,"1. General algorithm for variational inequalities, 2. Wiener-Hopf equations and variational inequalities, 3. Nonconvex functions and variational inequalities, 4. Finite difference scheme for variational inequalities, 5. Sensitivity analysis for quasi-variational inequalities","Professor, Etisalat College of Engineering, Sharjah, United Arab Emirates;Department of Mathematics and Statistics, Dalhousie University, Halifax, Nova Scotia, Canada B3H 3J5 (email: <rfc822>noor@mscs.dal.ca</rfc822>);Mathematics, Etisatat College of Engineering, P. O. Box 980, Sharjah, United Arab Emirates;Mathematics Department, COMSATS, Islamabad, Pakistan;Mathematics Department, COMSATS Institute of Information Technology, Islamabad, Pakistan;Mathematics Department, COMSATS Institute of Information Technology, Islamabad, Pakistan and Mathematics Department, College of Science, King Saud University, Riyadh, Saudi Arabia;Mathematical Sciences, King Fahd University of Petroleum and Minerals, Dhahran 31261, Saudi Arabia;Mathematics Department, College of Science King Saud University, P.O. Box 2455, Riyadh 11451, Saudi Arabia
"
Zoltán Benyó,fuzzy c-means; FCM algorithm; hard c-means; fuzzy membership value; largest fuzzy membership; enhanced FCM algorithm; proposed method; FCM iteration; diabetic model; torso model,"['fuzzi', 'c-mean', 'fcm', 'algorithm', 'hard', 'c-mean', 'fuzzi', 'membership', 'valu', 'largest', 'fuzzi', 'membership', 'enhanc', 'fcm', 'algorithm', 'propos', 'method', 'fcm', 'iter', 'diabet', 'model', 'torso', 'model']",11275,"1. Computer analysis of physiological systems: a new event recognition method, 2. The development of the melody of the infant cry to detect disorders during infancy, 3. Multi-stage FCM-Based Intensity Inhomogeneity Correction for MR Brain Image Segmentation, 4. A Thorough Analysis of the Suppressed Fuzzy C-Means Algorithm, 5. An Enhanced Accessory Pathway Localization Method for Efficient Treatment of Wolff-Parkinson-White Syndrome","Dept. of Control Engineering and Information Technology, Budapest University of Technology and Economics, Budapest, Hungary;Sapientia, Hungarian Science University of Transylvania,Faculty of Technical and Human Science, TârguMureş, Romania
"
Walfredo Cirne,grid middleware; grid computing; host load; Data Grid Middleware; Grid environment; Grid resource; Peer-to-peer grid; Core Grid Infrastructure; Grid Security; Grid technology,"['grid', 'middlewar', 'grid', 'comput', 'host', 'load', 'data', 'grid', 'middlewar', 'grid', 'environ', 'grid', 'resourc', 'peer-to-p', 'grid', 'core', 'grid', 'infrastructur', 'grid', 'secur', 'grid', 'technolog']",11277,"1. Using moldability to improve the performance of supercomputer jobs, 2. When the Herd Is Smart: Aggregate Behavior in the Selection of Job Request, 3. The Computational Co-op: Gathering Clusters into a Metacomputer, 4. A Model for Moldable Supercomputer Jobs, 5. Benchmarks and Standards for the Evaluation of Parallel Job Schedulers","Departamento de Sistemas e Computa¸ão, Universidade Federal de Campina Grande, Av. Aprígio Veloso, 882, Campina Grande, PB 58109970 Brazil;Dept. of Comput. Sci., TechnionIsrael Inst. of Technol., Haifa, Israel;Departamento de Sistemas de Computacao, Univ. Fed. da Paraiba, Joao Pessoa, Brazil;UFCG, Brazil;UFCG, Brazil and Google;Google Inc. 1600 Amphitheatre Parkway, Mountain View, CA 94043, U.S.A.
"
Wael Badawy,proposed architecture; proposed algorithm; SIMD architecture; architecture level; Algorithm-based low-power VLSI architecture; Computational Memory architecture; DCT architecture; FME architecture; Low-power architecture; Nano architecture,"['propos', 'architectur', 'propos', 'algorithm', 'simd', 'architectur', 'architectur', 'level', 'algorithm-bas', 'low-pow', 'vlsi', 'architectur', 'comput', 'memori', 'architectur', 'dct', 'architectur', 'fme', 'architectur', 'low-pow', 'architectur', 'nano', 'architectur']",11297,"1. A mesh update requirement for hierarchical adaptive meshes in mesh-based motion tracking, 2. A Multiplication-Free Algorithm and A Parallel Architecture for Affine Transformation, 3. A Multiplication-Free Parallel Architecture for Affine Transformation, 4. A Novel Pipelined Threads Architecture for AES Encryption Algorithm, 5. Low Power VLSI Architecture for 2D-Mesh Video Object Motion Tracking","The University of Calgary, Calgary, AB, Canada;Center for Adv. Comput. Studies, Louisiana Univ., Layayette, LA, USA;Intelliview Technologies Inc., Calgary, Canada
"
Hui Xu,energy consumption; wireless network; simulation result; realistic physical layer; energy efficient broadcast protocol; protocol performance; directional antenna; aware broadcast protocol; protocols coverage ratio; transmission radius,"['energi', 'consumpt', 'wireless', 'network', 'simul', 'result', 'realist', 'physic', 'layer', 'energi', 'effici', 'broadcast', 'protocol', 'protocol', 'perform', 'direct', 'antenna', 'awar', 'broadcast', 'protocol', 'protocol', 'coverag', 'ratio', 'transmiss', 'radiu']",11399,"1. sub-SAT: a formulation for relaxed boolean satisfiability with applications in routing, 2. Frequency-Occupation and Throughput Analysis of Hybrid Spread Spectrum (DS/FH) Network, 3. Hybrid forward resampling and volume rendering, 4. The performance and attitudes of higher education students using computer-mediated communication, 5. INSPIRE: An Interactive Image Assisted Non-Photorealistic Rendering System","Kyung Hee University, Korea;University of California at Santa Cruz, Baskin School of Engineering, 1156 High street, Santa Cruz, CA 95064, United States
"
Sirui Yang,Content Pollution; web feature impact; P2P application; P2P middleware; P2P network; inter-AS traffic; P2P Live StreamingIn; P2P live video; P2P mode; Star Craft,"['content', 'pollut', 'web', 'featur', 'impact', 'p2p', 'applic', 'p2p', 'middlewar', 'p2p', 'network', 'inter-a', 'traffic', 'p2p', 'live', 'streamingin', 'p2p', 'live', 'video', 'p2p', 'mode', 'star', 'craft']",11434,"1. PKTown: A Peer-to-Peer Middleware to Support Multiplayer Online Games, 2. OnRipple: A Distributed Overlay Framework for Targeted Immunization in Large-Scale Networks, 3. Collaboratively Scheduling to Decrease Inter-AS Traffic in P2P Live Streaming, 4. Modeling Modern Social-Network-Based Epidemics: A Case Study of Rose, 5. The Content Pollution in Peer-to-Peer Live Streaming Systems: Analysis and Implications","Huazhong University of Science and Technology, Wuhan, 430074, China
"
